screen_name profile_duration default_profile default_profile_image description_not_null favourites_count followers_count friends_count geo_enabled listed_count location_not_null profile_use_background_image protected statuses_count url_not_null verified class
AUCOINSINSULATE 616.585011574 1 0 1 520 13275 12353 0 14 1 1 0 7372 1 0 0
IaKnightHawke 250.227152778 1 0 1 284 718 1973 1 24 1 1 0 13525 0 0 1
pdrecentes 891.354918981 1 0 1 0 51 93 0 0 1 1 0 125 0 0 1
veggiematic 13.601898148 1 1 1 0 0 13 0 0 1 1 0 54 0 0 1
Jennipulos 1228.033888889 0 0 1 3 97440 100 1 905 1 1 0 1439 0 0 0
lahtay44 228.385150463 0 0 1 107 368 512 0 9 1 1 0 4734 0 0 1
karlypants 1374.581400463 0 0 1 767 1379 1176 1 29 1 1 0 23948 1 0 1
Nama0701_EXVS 653.644444444 1 0 1 315 395 395 1 26 1 1 0 18096 0 0 1
cinta_prayuda 391.834351852 0 0 1 1 113 648 0 0 1 1 0 324 0 0 1
dhenderson813 1256.969502315 0 0 1 8 70 464 1 0 1 1 0 75 0 0 1
markprou 1192.783784722 1 0 1 2 4 70 0 0 1 1 0 25 0 0 1
moazinhalokahot 107.331087963 0 0 1 0 153 632 0 0 1 1 0 8 0 0 1
Nino_PrinceofSc 1265.324236111 0 0 1 62 1238 1004 0 16 1 1 0 33865 1 0 0
LhadyKashieca 155.106481481 0 0 1 12 78 364 1 1 1 1 0 199 0 0 1
DanielPadillaPh 663.804131944 0 0 1 24 56057 116 1 24 1 1 0 7995 1 0 0
gramoladekeith 1066.385127315 1 0 1 16 238 366 0 13 1 1 0 2595 1 0 0
SwanCreekCandle 1311.975706019 0 0 1 0 552 139 0 17 1 1 0 86 1 0 0
oohblackdiamond 1065.999849537 0 0 1 80 315 1077 0 12 1 1 0 2430 1 0 1
sylviesosabyowc 132.39244213 1 0 1 0 11 193 0 0 1 1 0 8 0 0 1
redpig0122 46.285821759 1 0 1 0 829 875 0 0 1 1 0 273 0 0 1
basiceditor 1355.895173611 1 0 1 15 1479 952 0 147 1 1 0 1038 0 0 0
GorJess529 364.924976852 1 0 1 356 70 294 1 0 1 1 0 932 0 0 1
Schaubie361 277.663738426 1 0 1 7 293 1018 0 0 1 1 0 258 0 0 1
WhiteLies93 467.293935185 0 0 1 123 123 602 1 0 1 1 0 3748 0 0 1
quietwalker 1952.16775463 0 0 1 1 8 8 1 1 1 1 0 160 1 0 1
AB_Debates 28.437048611 0 0 1 0 66 159 0 0 1 1 0 59 1 0 0
VictoriaEyre21 287.057858796 0 0 1 5 58 111 0 0 1 1 0 116 0 0 1
renzoapr 928.121701389 0 0 1 1 462 2001 0 1 1 1 0 148 0 0 1
bTros 1319.580416667 0 0 1 207 88 67 1 6 1 1 0 5229 0 0 1
JVLast 130.563171296 0 0 1 0 1057 385 0 34 1 1 0 299 1 0 0
shhmanna 514.183460648 0 0 1 3 30 51 0 1 1 1 0 32 0 0 1
JohnMStringer 255.256921296 0 0 1 0 8 26 0 0 1 1 0 0 0 0 1
heathermp18 178.937083333 1 1 1 2 2 11 0 0 1 1 0 24 0 0 1
Lucjaa97 176.093206019 0 0 1 135 864 1214 0 0 1 1 0 1361 0 0 1
Lalizz_15 899.554085648 0 0 1 408 130 115 1 3 1 1 0 17541 1 0 1
wxander 1336.644189815 0 0 1 89 286 374 0 19 1 1 0 28663 1 0 1
IWillGoToLondon 187.774259259 0 0 1 531 1788 1751 0 1 1 1 0 1755 0 0 1
leadershipAU 521.109178241 1 0 1 2 837 253 0 15 1 1 0 563 1 0 0
Laah_Shwafaty 287.552789352 0 0 1 0 617 1795 0 1 1 1 0 1510 0 0 1
rittimelinelive 1281.665208333 0 0 1 0 20 2 0 4 1 1 0 4 1 0 0
ACSAgentSupport 51.45474537 0 0 1 0 276 1837 0 1 1 1 0 164 1 0 0
kd_deann 0.5796875 1 1 1 0 1 62 0 0 1 1 0 1 0 0 1
iammitchghurl 63.918287037 0 0 1 50 488 1666 0 0 1 1 0 852 0 0 1
brianfishman 759.326053241 1 0 1 0 2375 490 0 129 1 1 0 1669 1 0 0
danitapkht 138.995462963 1 0 1 0 28 376 0 0 1 1 0 33 0 0 1
BeliebrsBoys 579.565509259 0 0 1 236 96447 30799 0 856 1 1 0 9002 1 0 0
dugar_vidhi18 444.801724537 1 0 1 0 253 616 0 5 1 1 0 20 0 0 0
derCrazyEight 564.926145833 0 0 1 2 374 1285 0 0 1 1 0 956 0 0 1
RealistAbs 416.764293981 0 0 1 4 304 830 1 0 1 1 0 1200 0 0 1
alejand03951292 55.116342593 0 0 1 91 7 39 0 0 1 1 0 48 0 0 1
x_sucha_laydeee 205.290543981 0 0 1 450 650 586 0 0 1 1 0 4609 0 0 1
obiwankimberly 2133.514236111 0 0 1 254 1564 577 0 164 1 1 0 8642 1 0 0
oyontijones 12.331041667 1 0 1 1 0 13 0 0 1 1 0 2 0 0 1
dralexamaya 1307.129618056 0 0 1 6 67 755 0 0 1 1 0 3 0 0 1
NanaPM 1270.362233796 0 0 1 8 129 376 1 0 1 1 0 145 0 0 1
JannyPuello 247.959143519 1 1 1 0 2 30 0 0 1 1 0 1 0 0 1
UniverseFUN 668.807615741 0 0 1 177 28505 985 1 42 1 1 0 2682 1 0 0
priganiko 1271.382418981 0 0 1 9 268 299 1 8 1 1 0 8267 1 0 0
masayuanastasia 1193.576655093 0 0 1 86 402661 833 0 802 1 1 0 22220 0 0 0
jbass43 238.638483796 0 0 1 407 236 169 1 0 1 0 0 2654 0 0 1
oeng_ni 33.615196759 1 0 1 0 9 17 0 0 1 1 0 2 0 0 1
cmoscinski 1347.117638889 0 0 1 21 1781 2000 1 46 1 1 0 2426 1 0 0
Belfredemberg 338.781770833 1 0 1 0 261 1443 0 0 1 1 0 6 1 0 1
